"photo_id","country","country_slug","file_path","display_order","candidate_city","alt_text_draft","rights_status","metadata_status","review_status","notes"
"country-ireland-02","Ireland","ireland","/images/countries/ireland/dublin-temple-bar-night.webp","3","Dublin","Temple Bar in Dublin at night.","owner_provided","stripped","pending_review",""
"country-italy-01","Italy","italy","/images/countries/italy/rome-colosseum.webp","1","Rome","The Colosseum in Rome.","owner_provided","stripped","pending_review",""
"country-italy-02","Italy","italy","/images/countries/italy/pompeii-ruins.webp","2","Naples","The archaeological ruins of Pompeii.","owner_provided","stripped","pending_review",""
"country-italy-03","Italy","italy","/images/countries/italy/naples-market-street.webp","3","Naples","A market street in Naples.","owner_provided","stripped","pending_review",""
"country-lithuania-01","Lithuania","lithuania","/images/countries/lithuania/vilnius-uzupis-republic.webp","1","Vilnius","A street scene in the Užupis district of Vilnius.","owner_provided","stripped","pending_review",""
"country-lithuania-02","Lithuania","lithuania","/images/countries/lithuania/vilnius-bernardine-church.webp","2","Vilnius","Bernardine Church in Vilnius.","owner_provided","stripped","pending_review",""
"country-lithuania-03","Lithuania","lithuania","/images/countries/lithuania/vilnius-shopping-district.webp","3","Vilnius","A shopping district in Vilnius.","owner_provided","stripped","pending_review",""
"country-monaco-01","Monaco","monaco","/images/countries/monaco/monaco-coastline.webp","1","Monaco","The coastline and harbor of Monaco.","owner_provided","stripped","pending_review",""
"country-monaco-03","Monaco","monaco","/images/countries/monaco/monte-carlo-casino-lobby.webp","2","Monaco","The lobby of the Monte Carlo Casino.","owner_provided","stripped","pending_review",""
"country-monaco-02","Monaco","monaco","/images/countries/monaco/monte-carlo-casino-hall.webp","3","Monaco","An interior hall at the Monte Carlo Casino.","owner_provided","stripped","pending_review",""
"country-netherlands-01","Netherlands","netherlands","/images/countries/netherlands/utrecht-canal.webp","1","Utrecht","A canal in Utrecht.","owner_provided","stripped","pending_review",""
"country-netherlands-02","Netherlands","netherlands","/images/countries/netherlands/amsterdam-canal-district-night.webp","2","Amsterdam","The Amsterdam canal district at night.","owner_provided","stripped","pending_review",""
"country-netherlands-03","Netherlands","netherlands","/images/countries/netherlands/rotterdam-street-art.webp","3","Rotterdam","Street art in Rotterdam.","owner_provided","stripped","pending_review",""
"country-north-macedonia-01","North Macedonia","north-macedonia","/images/countries/north-macedonia/skopje-airport-terminal.webp","1","Skopje","The terminal at Skopje International Airport.","owner_provided","stripped","pending_review",""
"country-north-macedonia-02","North Macedonia","north-macedonia","/images/countries/north-macedonia/north-macedonian-burek.webp","2","Skopje","Burek during an airport overnight stay in North Macedonia.","owner_provided","stripped","pending_review",""
"country-north-macedonia-03","North Macedonia","north-macedonia","/images/countries/north-macedonia/skopje-airport-gate.webp","3","Skopje","A departure gate at Skopje International Airport.","owner_provided","stripped","pending_review",""
"country-norway-02","Norway","norway","/images/countries/norway/oslo-fram-museum.webp","1","Oslo","The Fram Museum in Oslo.","owner_provided","stripped","pending_review",""
"country-norway-01","Norway","norway","/images/countries/norway/oslo-munch-museum.webp","2","Oslo","The MUNCH museum in Oslo.","owner_provided","stripped","pending_review",""
"country-norway-03","Norway","norway","/images/countries/norway/norway-winter-cabin.webp","3","","A cabin in a snowy Norwegian landscape.","owner_provided","stripped","pending_review","Country-level scene; City relationship requires owner review"
"country-poland-01","Poland","poland","/images/countries/poland/wieliczka-salt-mine.webp","1","Kraków","An underground chamber in the Wieliczka Salt Mine.","owner_provided","stripped","pending_review",""
"country-poland-03","Poland","poland","/images/countries/poland/wieliczka-market-square.webp","2","Kraków","The market square in Wieliczka.","owner_provided","stripped","pending_review",""
"country-poland-02","Poland","poland","/images/countries/poland/krakow-christmas-market.webp","3","Kraków","The Christmas market in Kraków.","owner_provided","stripped","pending_review",""
"country-romania-03","Romania","romania","/images/countries/romania/bucharest-civic-building.webp","1","Bucharest","A civic building in Bucharest.","owner_provided","stripped","pending_review",""
"country-romania-02","Romania","romania","/images/countries/romania/bucharest-night-street.webp","2","Bucharest","A street in Bucharest at night.","owner_provided","stripped","pending_review",""
"country-romania-01","Romania","romania","/images/countries/romania/bucharest-therme.webp","3","Bucharest","The Therme Bucharest complex.","owner_provided","stripped","pending_review",""
"country-spain-01","Spain","spain","/images/countries/spain/barcelona-sagrada-familia.webp","1","Barcelona","The Sagrada Família in Barcelona.","owner_provided","stripped","pending_review",""
"country-spain-02","Spain","spain","/images/countries/spain/barcelona-beachfront.webp","2","Barcelona","The beachfront in Barcelona.","owner_provided","stripped","pending_review",""
"country-spain-03","Spain","spain","/images/countries/spain/barcelona-flamenco-show.webp","3","Barcelona","A flamenco performance in Barcelona.","owner_provided","stripped","pending_review",""
"country-turkey-01","Turkey","turkey","/images/countries/turkey/cappadocia-rock-formations.webp","1","Göreme","Rock formations in Cappadocia.","owner_provided","stripped","pending_review",""
"country-turkey-03","Turkey","turkey","/images/countries/turkey/istanbul-galata-bridge.webp","2","Istanbul","Galata Bridge in Istanbul.","owner_provided","stripped","pending_review",""
"country-turkey-02","Turkey","turkey","/images/countries/turkey/istanbul-spice-bazaar.webp","3","Istanbul","The Spice Bazaar in Istanbul.","owner_provided","stripped","pending_review",""
"country-united-kingdom-01","United Kingdom","united-kingdom","/images/countries/united-kingdom/london-big-ben.webp","1","London","Big Ben and the Palace of Westminster in London.","owner_provided","stripped","pending_review",""
"country-united-kingdom-03","United Kingdom","united-kingdom","/images/countries/united-kingdom/london-underground.webp","2","London","A London Underground station.","owner_provided","stripped","pending_review",""
"country-united-kingdom-02","United Kingdom","united-kingdom","/images/countries/united-kingdom/london-natural-history-museum.webp","3","London","The Natural History Museum in London.","owner_provided","stripped","pending_review",""
"country-vatican-city-01","Vatican City","vatican-city","/images/countries/vatican-city/st-peters-square-and-basilica.webp","1","Vatican City","St. Peter's Square and Basilica in Vatican City.","owner_provided","stripped","pending_review",""
"country-vatican-city-02","Vatican City","vatican-city","/images/countries/vatican-city/vatican-museums-gallery-of-maps.webp","2","Vatican City","Ornate frescoes in the Gallery of Maps at the Vatican Museums.","owner_provided","stripped","pending_review",""
"country-vatican-city-03","Vatican City","vatican-city","/images/countries/vatican-city/vatican-museums-fresco-hall.webp","3","Vatican City","A fresco-covered hall in the Vatican Museums.","owner_provided","stripped","pending_review",""
